# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1416380690;32478.17;0.42;-32650.08
axle;60;1416380750;-8498.16;0.32;8497.83
axle;60;1416380810;31.79;0.22;63.00
axle;60;1416380870;-1.94;0.15;5.92
axle;60;1416380930;-5.40;0.12;7.07
axle;60;1416380990;-40140.16;0.22;23.52
axle;60;1416381050;22379.71;0.13;8.20
axle;60;1416381110;6.48;0.18;6.63
axle;60;1416381170;17529.64;0.13;5.78
axle;60;1416381230;-5099.27;0.17;7.89
axle;60;1416381290;-26207.81;0.15;24.42
axle;60;1416381350;17517.36;0.33;12.20
