# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416381423;30374460;234149964;88.52;106576;30865800;207707124;76.11
axle;60;1416381483;29932256;234592168;88.68;106640;30881952;208141484;76.27
axle;60;1416381543;26818220;237706204;89.86;106748;32951980;209241608;76.67
axle;60;1416381603;28411464;236112960;89.26;106824;33032744;207480484;76.03
axle;60;1416381663;28282120;236242304;89.31;106912;33034240;207623412;76.08
axle;60;1416381723;26171828;238352596;90.11;107012;35290928;207478800;76.02
axle;60;1416381783;26158016;238366408;90.11;107048;35292264;207478800;76.02
axle;60;1416381843;23830368;240694056;90.99;107136;37608772;207489056;76.03
axle;60;1416381903;23846156;240678268;90.99;107192;37609716;207477592;76.02
