Linux 3.0.101-0.15-default (axle) 	11/19/2014 	_x86_64_

08:16:03 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:17:03 AM     all      5.82      0.00      7.52      0.07      0.00     86.59
08:18:03 AM     all      6.61      0.00      6.53      0.00      0.00     86.85
08:19:03 AM     all      6.55      0.00      6.46      0.01      0.00     86.98
08:20:03 AM     all      6.00      0.00      4.44      0.01      0.00     89.55
08:21:03 AM     all      5.51      0.00      0.88      0.00      0.00     93.61
08:22:03 AM     all      4.20      0.00      2.23      0.00      0.00     93.57
08:23:03 AM     all      5.95      0.00      0.33      0.00      0.00     93.72
08:24:03 AM     all      4.21      0.00      2.19      0.00      0.00     93.60
08:25:03 AM     all      4.80      0.00      1.57      0.00      0.00     93.63
