# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1416382087;0.00;163.62;393563.93;0.00;33983.60;0.00;0.00;0.00;0.00
axle;60;1416382147;0.00;138.56;262106.36;0.00;23280.54;0.00;0.00;0.00;0.00
axle;60;1416382207;0.13;169.46;309641.83;0.00;31814.50;0.00;0.00;0.00;0.00
axle;60;1416382267;0.00;137.45;326325.53;0.00;31523.44;0.00;0.00;0.00;0.00
axle;60;1416382327;0.00;143.50;227144.40;0.00;11794.25;0.00;0.00;0.00;0.00
axle;60;1416382387;0.00;108.93;158125.42;0.00;20460.52;0.00;0.00;0.00;0.00
axle;60;1416382447;0.00;119.15;158775.30;0.00;8779.77;0.00;0.00;0.00;0.00
axle;60;1416382507;0.07;112.26;275285.27;0.00;12823.73;0.00;0.00;0.00;0.00
